# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2
#
# total peaks = 32235
# peak size = 134
# peaks found using tags on both strands
# minimum distance between peaks = 268
# fragment length = 122
# genome size = 2000000000
# Total tags = 12320924.0
# Total tags in peaks = 1164991.0
# Approximate IP efficiency = 9.46%
# tags per bp = 0.005291
# expected tags per peak = 0.709
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.447811e-07
# FDR tag threshold = 8.0
# number of putative peaks = 59162
#
# input tag directory = /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 23234
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3687
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 6
#
# cmd = findPeaks /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/NR5a2 -i /home/q5gong/CSE185FinalProject/Figure_4e&f/data/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr2-2982	chr2	140375194	140375328	+	9.74	0.867	10.000000	10.1	1.0	10.14	1.11e-07	44.18	2.57e-16	1.07
chr2-3407	chr2	142455347	142455481	+	9.74	0.750	9.000000	10.1	0.5	20.28	1.63e-10	16.99	1.59e-11	1.07
chr2-4090	chr2	142524527	142524661	+	9.74	0.833	8.000000	10.1	1.0	10.14	1.11e-07	15.50	4.46e-11	1.21
chr2-2990	chr2	143995211	143995345	+	9.74	0.636	10.000000	10.1	0.5	20.28	1.63e-10	4.40	2.94e-05	1.07
chr2-2623	chr2	144087871	144088005	+	9.74	0.765	11.000000	10.1	0.5	20.28	1.63e-10	8.26	4.87e-08	0.88
chr2-2994	chr2	144125214	144125348	+	9.74	0.765	10.000000	10.1	1.0	10.14	1.11e-07	4.07	6.05e-05	0.97
chr2-2626	chr2	144999049	144999183	+	9.74	0.875	11.000000	10.1	1.0	10.14	1.11e-07	8.58	3.24e-08	0.88
chr2-2065	chr2	145848535	145848669	+	9.74	0.708	13.000000	10.1	2.0	5.07	4.65e-05	12.10	6.99e-10	0.88
chr2-2319	chr2	146296816	146296950	+	9.74	0.650	12.000000	10.1	2.0	5.07	4.65e-05	11.47	1.36e-09	0.81
chr2-4127	chr2	148676962	148677096	+	9.74	0.706	8.000000	10.1	2.0	5.07	4.65e-05	14.97	6.57e-11	1.21
chr2-2328	chr2	151837556	151837690	+	9.74	0.857	12.000000	10.1	1.0	10.14	1.11e-07	8.75	2.63e-08	0.81
chr2-2636	chr2	152537411	152537545	+	9.74	0.778	11.000000	10.1	2.0	5.07	4.65e-05	6.54	5.60e-07	0.97
chr2-3009	chr2	152554934	152555068	+	9.74	0.923	10.000000	10.1	2.0	5.07	4.65e-05	4.75	1.39e-05	0.97
chr2-2642	chr2	153152856	153152990	+	9.74	0.667	11.000000	10.1	2.0	5.07	4.65e-05	13.19	2.71e-10	0.88
chr2-2643	chr2	153215344	153215478	+	9.74	0.722	11.000000	10.1	1.0	10.14	1.11e-07	11.18	1.81e-09	0.88
chr2-4157	chr2	153262339	153262473	+	9.74	0.762	8.000000	10.1	2.0	5.07	4.65e-05	10.64	3.12e-09	1.21
chr2-3013	chr2	154577728	154577862	+	9.74	0.812	10.000000	10.1	1.0	10.14	1.11e-07	14.02	1.37e-10	1.07
chr2-4187	chr2	155627312	155627446	+	9.74	0.867	8.000000	10.1	1.0	10.14	1.11e-07	10.52	3.55e-09	1.21
chr2-3472	chr2	155690027	155690161	+	9.74	0.800	9.000000	10.1	0.5	20.28	1.63e-10	4.85	1.13e-05	1.07
chr2-3018	chr2	156368953	156369087	+	9.74	0.765	10.000000	10.1	0.5	20.28	1.63e-10	8.84	2.36e-08	0.97
chr2-2657	chr2	158048511	158048645	+	9.74	0.783	11.000000	10.1	2.0	5.07	4.65e-05	6.18	1.01e-06	0.88
chr2-2353	chr2	158224191	158224325	+	9.74	0.800	12.000000	10.1	1.0	10.14	1.11e-07	7.82	8.70e-08	0.88
chr2-3024	chr2	160490788	160490922	+	9.74	0.857	10.000000	10.1	1.0	10.14	1.11e-07	11.78	1.02e-09	1.07
chr2-2355	chr2	160624030	160624164	+	9.74	0.867	12.000000	10.1	2.0	5.07	4.65e-05	8.34	4.41e-08	0.81
chr2-2663	chr2	162824344	162824478	+	9.74	0.733	11.000000	10.1	1.0	10.14	1.11e-07	13.19	2.71e-10	0.88
chr2-3034	chr2	163548441	163548575	+	9.74	0.778	10.000000	10.1	0.5	20.28	1.63e-10	6.90	3.22e-07	1.07
chr2-3506	chr2	163582472	163582606	+	9.74	0.750	9.000000	10.1	2.0	5.07	4.65e-05	14.02	1.37e-10	1.07
chr2-2365	chr2	163627222	163627356	+	9.74	0.765	12.000000	10.1	2.0	5.07	4.65e-05	9.71	8.51e-09	0.88
chr2-4237	chr2	163898620	163898754	+	9.74	0.812	8.000000	10.1	0.5	20.28	1.63e-10	8.92	2.12e-08	1.21
chr2-2374	chr2	165828047	165828181	+	9.74	0.750	12.000000	10.1	2.0	5.07	4.65e-05	8.92	2.12e-08	0.97
chr2-3529	chr2	166954803	166954937	+	9.74	0.750	9.000000	10.1	2.0	5.07	4.65e-05	13.39	2.29e-10	1.07
chr2-2698	chr2	168559661	168559795	+	9.74	0.765	11.000000	10.1	2.0	5.07	4.65e-05	15.78	3.66e-11	0.88
chr2-3061	chr2	168568064	168568198	+	9.74	0.650	10.000000	10.1	2.0	5.07	4.65e-05	12.10	6.99e-10	0.97
chr2-3070	chr2	173583331	173583465	+	9.74	0.923	10.000000	10.1	1.0	10.14	1.11e-07	14.97	6.57e-11	0.97
chr2-2705	chr2	173801830	173801964	+	9.74	0.810	11.000000	10.1	1.0	10.14	1.11e-07	10.52	3.55e-09	0.88
chr2-2392	chr2	179297224	179297358	+	9.74	0.750	12.000000	10.1	2.0	5.07	4.65e-05	12.62	4.40e-10	0.88
chr2-2708	chr2	179493701	179493835	+	9.74	0.737	11.000000	10.1	2.0	5.07	4.65e-05	5.11	6.86e-06	0.97
chr2-2393	chr2	179752293	179752427	+	9.74	0.611	12.000000	10.1	1.0	10.14	1.11e-07	12.10	6.99e-10	0.81
chr2-3075	chr2	179806496	179806630	+	9.74	0.933	10.000000	10.1	1.0	10.14	1.11e-07	9.71	8.51e-09	0.97
chr2-3079	chr2	181147373	181147507	+	9.74	0.722	10.000000	10.1	1.0	10.14	1.11e-07	4.46	2.55e-05	0.97
chr3-1455	chr3	4856692	4856826	+	9.74	0.875	12.000000	10.1	2.0	5.07	4.65e-05	38.41	1.32e-15	0.88
chr3-1606	chr3	9334342	9334476	+	9.74	0.882	11.000000	10.1	2.0	5.07	4.65e-05	12.80	3.75e-10	0.88
chr3-1793	chr3	9400653	9400787	+	9.74	0.591	10.000000	10.1	2.0	5.07	4.65e-05	7.07	2.52e-07	0.97
chr3-1316	chr3	9581562	9581696	+	9.74	0.750	13.000000	10.1	1.0	10.14	1.11e-07	11.47	1.36e-09	0.81
chr3-2386	chr3	15264796	15264930	+	9.74	0.750	8.000000	10.1	1.0	10.14	1.11e-07	23.88	3.28e-13	1.21
chr3-2402	chr3	20419757	20419891	+	9.74	0.778	8.000000	10.1	1.0	10.14	1.11e-07	27.61	6.14e-14	1.38
chr3-1324	chr3	21844469	21844603	+	9.74	0.789	13.000000	10.1	1.0	10.14	1.11e-07	10.52	3.55e-09	0.81
chr3-1461	chr3	24391368	24391502	+	9.74	0.857	12.000000	10.1	1.0	10.14	1.11e-07	25.99	1.24e-13	0.81
chr3-1465	chr3	29856345	29856479	+	9.74	0.842	12.000000	10.1	1.0	10.14	1.11e-07	13.81	1.63e-10	0.88
chr3-1624	chr3	34584195	34584329	+	9.74	0.762	11.000000	10.1	0.5	20.28	1.63e-10	15.50	4.46e-11	0.97
chr3-2090	chr3	36763024	36763158	+	9.74	0.800	9.000000	10.1	0.5	20.28	1.63e-10	8.84	2.36e-08	1.07
chr3-1627	chr3	38131497	38131631	+	9.74	0.857	11.000000	10.1	1.0	10.14	1.11e-07	12.27	6.01e-10	0.97
chr3-2095	chr3	39030432	39030566	+	9.74	0.923	9.000000	10.1	1.0	10.14	1.11e-07	24.54	2.39e-13	1.07
chr3-1632	chr3	41386338	41386472	+	9.74	0.778	11.000000	10.1	0.5	20.28	1.63e-10	4.85	1.13e-05	0.88
chr3-1479	chr3	42213058	42213192	+	9.74	0.929	12.000000	10.1	0.5	20.28	1.63e-10	30.47	1.96e-14	0.88
chr3-2114	chr3	51685100	51685234	+	9.74	0.923	9.000000	10.1	1.0	10.14	1.11e-07	5.93	1.54e-06	1.07
chr3-2124	chr3	52686230	52686364	+	9.74	0.857	9.000000	10.1	2.0	5.07	4.65e-05	22.65	6.00e-13	1.07
chr3-1493	chr3	58386851	58386985	+	9.74	0.800	12.000000	10.1	0.5	20.28	1.63e-10	9.93	6.68e-09	0.81
chr3-2134	chr3	58476493	58476627	+	9.74	0.800	9.000000	10.1	1.0	10.14	1.11e-07	13.19	2.71e-10	1.07
chr3-1645	chr3	59012912	59013046	+	9.74	0.722	11.000000	10.1	1.0	10.14	1.11e-07	10.04	5.91e-09	0.88
chr3-1647	chr3	60332277	60332411	+	9.74	0.609	11.000000	10.1	1.0	10.14	1.11e-07	12.44	5.15e-10	0.97
chr3-1495	chr3	60442667	60442801	+	9.74	0.609	12.000000	10.1	2.0	5.07	4.65e-05	26.77	8.76e-14	0.88
chr3-1650	chr3	64859470	64859604	+	9.74	0.929	11.000000	10.1	0.5	20.28	1.63e-10	23.25	4.45e-13	0.88
chr3-2522	chr3	65121901	65122035	+	9.74	0.650	8.000000	10.1	2.0	5.07	4.65e-05	25.24	1.73e-13	1.38
chr3-1876	chr3	68403622	68403756	+	9.74	0.929	10.000000	10.1	2.0	5.07	4.65e-05	12.62	4.40e-10	0.97
chr3-1654	chr3	69583325	69583459	+	9.74	0.857	11.000000	10.1	1.0	10.14	1.11e-07	13.19	2.71e-10	0.88
chr3-1504	chr3	69584897	69585031	+	9.74	0.824	12.000000	10.1	0.5	20.28	1.63e-10	12.99	3.19e-10	0.88
chr3-1505	chr3	70227286	70227420	+	9.74	0.867	12.000000	10.1	1.0	10.14	1.11e-07	40.16	7.84e-16	0.81
chr3-1655	chr3	75083804	75083938	+	9.74	0.519	11.000000	10.1	0.5	20.28	1.63e-10	15.50	4.46e-11	0.97
chr3-2160	chr3	75366550	75366684	+	9.74	0.857	9.000000	10.1	0.5	20.28	1.63e-10	12.44	5.15e-10	1.07
chr3-1660	chr3	84089566	84089700	+	9.74	0.857	11.000000	10.1	2.0	5.07	4.65e-05	5.49	3.36e-06	0.88
chr3-1511	chr3	84643554	84643688	+	9.74	0.789	12.000000	10.1	2.0	5.07	4.65e-05	13.39	2.29e-10	0.97
chr3-1663	chr3	85117905	85118039	+	9.74	0.800	11.000000	10.1	1.0	10.14	1.11e-07	16.36	2.43e-11	0.88
chr3-1888	chr3	85181491	85181625	+	9.74	0.800	10.000000	10.1	2.0	5.07	4.65e-05	13.39	2.29e-10	0.97
chr3-1513	chr3	87677831	87677965	+	9.74	0.857	12.000000	10.1	0.5	20.28	1.63e-10	7.89	7.92e-08	0.81
chr3-2592	chr3	88066072	88066206	+	9.74	0.867	8.000000	10.1	1.0	10.14	1.11e-07	21.55	1.06e-12	1.21
chr3-2187	chr3	88214727	88214861	+	9.74	0.706	9.000000	10.1	1.0	10.14	1.11e-07	4.58	1.99e-05	1.07
chr3-1908	chr3	88444692	88444826	+	9.74	0.667	10.000000	10.1	1.0	10.14	1.11e-07	11.63	1.18e-09	0.97
chr3-1523	chr3	89145848	89145982	+	9.74	0.632	12.000000	10.1	2.0	5.07	4.65e-05	9.02	1.90e-08	0.81
chr3-2203	chr3	89580210	89580344	+	9.74	0.706	9.000000	10.1	1.0	10.14	1.11e-07	5.05	7.69e-06	1.07
chr3-1918	chr3	90038167	90038301	+	9.74	0.923	10.000000	10.1	1.0	10.14	1.11e-07	8.34	4.41e-08	0.97
chr3-2208	chr3	90253684	90253818	+	9.74	0.867	9.000000	10.1	0.5	20.28	1.63e-10	12.44	5.15e-10	1.21
chr3-1925	chr3	94845630	94845764	+	9.74	0.722	10.000000	10.1	0.5	20.28	1.63e-10	9.71	8.51e-09	0.97
chr3-1390	chr3	95040640	95040774	+	9.74	0.789	13.000000	10.1	2.0	5.07	4.65e-05	6.18	1.01e-06	0.88
chr3-1391	chr3	95050942	95051076	+	9.74	0.714	13.000000	10.1	2.0	5.07	4.65e-05	9.20	1.52e-08	0.81
chr3-1926	chr3	95407108	95407242	+	9.74	0.765	10.000000	10.1	0.5	20.28	1.63e-10	14.48	9.54e-11	1.07
chr3-1931	chr3	95635977	95636111	+	9.74	0.682	10.000000	10.1	0.5	20.28	1.63e-10	16.67	1.97e-11	1.07
chr3-1932	chr3	95855922	95856056	+	9.74	0.706	10.000000	10.1	0.5	20.28	1.63e-10	12.62	4.40e-10	0.97
chr3-1694	chr3	96540383	96540517	+	9.74	0.700	11.000000	10.1	2.0	5.07	4.65e-05	6.45	6.52e-07	0.97
chr3-1936	chr3	96963526	96963660	+	9.74	0.632	10.000000	10.1	2.0	5.07	4.65e-05	6.40	7.02e-07	0.97
chr3-1956	chr3	101304309	101304443	+	9.74	0.625	10.000000	10.1	1.0	10.14	1.11e-07	8.34	4.41e-08	0.97
chr3-1957	chr3	101304568	101304702	+	9.74	0.600	10.000000	10.1	2.0	5.07	4.65e-05	8.58	3.24e-08	1.07
chr3-1709	chr3	102113797	102113931	+	9.74	0.619	11.000000	10.1	1.0	10.14	1.11e-07	11.94	8.80e-10	0.88
chr3-1710	chr3	103913088	103913222	+	9.74	0.684	11.000000	10.1	1.0	10.14	1.11e-07	13.19	2.71e-10	0.88
chr3-1715	chr3	105290687	105290821	+	9.74	0.842	11.000000	10.1	1.0	10.14	1.11e-07	11.04	2.08e-09	0.88
chr3-1727	chr3	107801641	107801775	+	9.74	0.722	11.000000	10.1	0.5	20.28	1.63e-10	16.67	1.97e-11	0.88
chr3-1978	chr3	107932795	107932929	+	9.74	0.684	10.000000	10.1	2.0	5.07	4.65e-05	7.89	7.92e-08	0.97
chr3-2273	chr3	108310909	108311043	+	9.74	0.789	9.000000	10.1	1.0	10.14	1.11e-07	8.26	4.87e-08	1.07
chr3-1559	chr3	108364935	108365069	+	9.74	0.765	12.000000	10.1	1.0	10.14	1.11e-07	8.41	3.98e-08	0.88
chr3-1987	chr3	120951377	120951511	+	9.74	0.750	10.000000	10.1	0.5	20.28	1.63e-10	15.23	5.42e-11	0.97
chr3-1744	chr3	121256366	121256500	+	9.74	0.824	11.000000	10.1	1.0	10.14	1.11e-07	15.23	5.42e-11	0.88
chr3-1754	chr3	123572940	123573074	+	9.74	0.867	11.000000	10.1	0.5	20.28	1.63e-10	25.99	1.24e-13	0.88
chr3-1578	chr3	127539735	127539869	+	9.74	0.737	12.000000	10.1	0.5	20.28	1.63e-10	8.26	4.87e-08	0.88
chr3-1581	chr3	130143638	130143772	+	9.74	0.875	12.000000	10.1	2.0	5.07	4.65e-05	21.55	1.06e-12	0.88
chr3-1763	chr3	131228359	131228493	+	9.74	0.875	11.000000	10.1	2.0	5.07	4.65e-05	9.02	1.90e-08	0.97
chr3-1584	chr3	133809626	133809760	+	9.74	0.750	12.000000	10.1	2.0	5.07	4.65e-05	19.21	3.95e-12	0.81
chr3-2321	chr3	135163664	135163798	+	9.74	0.714	9.000000	10.1	1.0	10.14	1.11e-07	4.80	1.26e-05	1.21
chr3-1587	chr3	135344536	135344670	+	9.74	0.882	12.000000	10.1	2.0	5.07	4.65e-05	11.18	1.81e-09	0.88
chr3-2012	chr3	135461639	135461773	+	9.74	0.875	10.000000	10.1	0.5	20.28	1.63e-10	16.67	1.97e-11	1.07
chr3-1442	chr3	138406269	138406403	+	9.74	0.762	13.000000	10.1	2.0	5.07	4.65e-05	6.69	4.44e-07	0.88
chr3-1770	chr3	138423919	138424053	+	9.74	0.650	11.000000	10.1	2.0	5.07	4.65e-05	7.96	7.20e-08	0.97
chr3-2020	chr3	141743776	141743910	+	9.74	0.706	10.000000	10.1	2.0	5.07	4.65e-05	5.77	2.01e-06	0.97
chr3-2022	chr3	142048793	142048927	+	9.74	0.923	10.000000	10.1	0.5	20.28	1.63e-10	12.99	3.19e-10	0.97
chr3-2342	chr3	142766416	142766550	+	9.74	0.929	9.000000	10.1	1.0	10.14	1.11e-07	20.55	1.83e-12	1.07
chr3-1594	chr3	143296339	143296473	+	9.74	0.706	12.000000	10.1	2.0	5.07	4.65e-05	10.04	5.91e-09	0.88
chr3-2350	chr3	145670865	145670999	+	9.74	0.778	9.000000	10.1	0.5	20.28	1.63e-10	8.75	2.63e-08	1.21
chr3-1449	chr3	146404053	146404187	+	9.74	0.778	13.000000	10.1	2.0	5.07	4.65e-05	16.06	2.99e-11	0.81
chr3-1454	chr3	152067837	152067971	+	9.74	0.812	13.000000	10.1	1.0	10.14	1.11e-07	8.84	2.36e-08	0.81
chr3-1784	chr3	153512790	153512924	+	9.74	0.824	11.000000	10.1	1.0	10.14	1.11e-07	17.67	1.02e-11	0.97
chr3-2362	chr3	154130942	154131076	+	9.74	0.857	9.000000	10.1	1.0	10.14	1.11e-07	16.99	1.59e-11	1.07
chr3-1604	chr3	157296052	157296186	+	9.74	0.750	12.000000	10.1	0.5	20.28	1.63e-10	7.49	1.38e-07	0.88
chr3-1605	chr3	157698898	157699032	+	9.74	0.619	12.000000	10.1	2.0	5.07	4.65e-05	9.11	1.70e-08	0.81
chr4-2956	chr4	3156829	3156963	+	9.74	0.706	9.000000	10.1	1.0	10.14	1.11e-07	10.16	5.22e-09	1.07
chr4-2077	chr4	3577512	3577646	+	9.74	0.800	12.000000	10.1	2.0	5.07	4.65e-05	16.67	1.97e-11	0.81
chr4-2959	chr4	3866763	3866897	+	9.74	0.800	9.000000	10.1	2.0	5.07	4.65e-05	9.60	9.58e-09	1.07
chr4-3440	chr4	5627586	5627720	+	9.74	0.750	8.000000	10.1	1.0	10.14	1.11e-07	16.67	1.97e-11	1.21
chr4-2961	chr4	6149538	6149672	+	9.74	0.812	9.000000	10.1	1.0	10.14	1.11e-07	9.02	1.90e-08	1.07
chr4-2326	chr4	8450693	8450827	+	9.74	0.833	11.000000	10.1	0.5	20.28	1.63e-10	18.41	6.41e-12	0.97
chr4-2967	chr4	8609978	8610112	+	9.74	0.800	9.000000	10.1	1.0	10.14	1.11e-07	14.48	9.54e-11	1.07
chr4-2333	chr4	9413721	9413855	+	9.74	0.857	11.000000	10.1	1.0	10.14	1.11e-07	25.24	1.73e-13	0.88
chr4-2603	chr4	15234933	15235067	+	9.74	0.722	10.000000	10.1	0.5	20.28	1.63e-10	7.18	2.13e-07	1.07
chr4-2606	chr4	19799199	19799333	+	9.74	0.846	10.000000	10.1	2.0	5.07	4.65e-05	15.23	5.42e-11	0.97
chr4-2990	chr4	22284380	22284514	+	9.74	0.750	9.000000	10.1	1.0	10.14	1.11e-07	11.18	1.81e-09	1.07
chr4-2346	chr4	34718912	34719046	+	9.74	0.733	11.000000	10.1	2.0	5.07	4.65e-05	28.50	4.25e-14	0.88
chr4-1911	chr4	41043412	41043546	+	9.74	0.938	13.000000	10.1	1.0	10.14	1.11e-07	10.64	3.12e-09	0.81
chr4-3531	chr4	41494106	41494240	+	9.74	0.824	8.000000	10.1	0.5	20.28	1.63e-10	4.09	5.80e-05	1.21
chr4-2361	chr4	43081604	43081738	+	9.74	0.867	11.000000	10.1	0.5	20.28	1.63e-10	12.44	5.15e-10	0.88
chr4-3019	chr4	45198383	45198517	+	9.74	0.737	9.000000	10.1	2.0	5.07	4.65e-05	12.44	5.15e-10	1.07
chr4-2119	chr4	45534844	45534978	+	9.74	0.727	12.000000	10.1	2.0	5.07	4.65e-05	6.27	8.76e-07	0.88
chr4-3030	chr4	45992857	45992991	+	9.74	0.875	9.000000	10.1	1.0	10.14	1.11e-07	14.48	9.54e-11	1.21
chr4-2122	chr4	47247908	47248042	+	9.74	0.789	12.000000	10.1	2.0	5.07	4.65e-05	10.91	2.38e-09	0.88
chr4-3570	chr4	47252126	47252260	+	9.74	0.800	8.000000	10.1	2.0	5.07	4.65e-05	9.20	1.52e-08	1.21
chr4-2636	chr4	47323781	47323915	+	9.74	0.867	10.000000	10.1	2.0	5.07	4.65e-05	12.80	3.75e-10	0.97
chr4-2372	chr4	49309280	49309414	+	9.74	0.778	11.000000	10.1	1.0	10.14	1.11e-07	9.20	1.52e-08	0.88
chr4-2128	chr4	53134766	53134900	+	9.74	0.824	12.000000	10.1	2.0	5.07	4.65e-05	12.10	6.99e-10	0.81
chr4-1926	chr4	53500243	53500377	+	9.74	0.789	13.000000	10.1	1.0	10.14	1.11e-07	11.94	8.80e-10	0.81
chr4-1928	chr4	55663685	55663819	+	9.74	0.708	13.000000	10.1	1.0	10.14	1.11e-07	9.02	1.90e-08	0.88
chr4-3050	chr4	55664163	55664297	+	9.74	0.706	9.000000	10.1	2.0	5.07	4.65e-05	8.92	2.12e-08	1.07
chr4-2133	chr4	56952596	56952730	+	9.74	0.700	12.000000	10.1	1.0	10.14	1.11e-07	5.32	4.56e-06	0.88
chr4-2657	chr4	59723751	59723885	+	9.74	0.571	10.000000	10.1	2.0	5.07	4.65e-05	8.92	2.12e-08	0.97
chr4-2143	chr4	62497041	62497175	+	9.74	0.857	12.000000	10.1	0.5	20.28	1.63e-10	14.97	6.57e-11	0.81
chr4-2153	chr4	75599687	75599821	+	9.74	0.867	12.000000	10.1	2.0	5.07	4.65e-05	18.03	8.10e-12	0.88
chr4-2677	chr4	81956747	81956881	+	9.74	0.722	10.000000	10.1	0.5	20.28	1.63e-10	14.73	7.93e-11	1.07
chr4-2401	chr4	82954166	82954300	+	9.74	0.833	11.000000	10.1	1.0	10.14	1.11e-07	7.82	8.70e-08	0.97
chr4-1944	chr4	83421616	83421750	+	9.74	0.875	13.000000	10.1	1.0	10.14	1.11e-07	23.88	3.28e-13	0.81
chr4-2402	chr4	83931919	83932053	+	9.74	0.882	11.000000	10.1	0.5	20.28	1.63e-10	22.09	8.02e-13	0.97
chr4-2689	chr4	89111989	89112123	+	9.74	0.875	10.000000	10.1	2.0	5.07	4.65e-05	6.18	1.01e-06	0.97
chr4-2164	chr4	94784349	94784483	+	9.74	0.667	12.000000	10.1	1.0	10.14	1.11e-07	18.41	6.41e-12	0.81
chr4-3103	chr4	94822599	94822733	+	9.74	0.857	9.000000	10.1	0.5	20.28	1.63e-10	9.02	1.90e-08	1.07
chr4-2167	chr4	96190974	96191108	+	9.74	0.867	12.000000	10.1	1.0	10.14	1.11e-07	25.24	1.73e-13	0.81
chr4-2409	chr4	97601683	97601817	+	9.74	0.923	11.000000	10.1	0.5	20.28	1.63e-10	9.30	1.36e-08	0.88
chr4-2705	chr4	99748811	99748945	+	9.74	0.765	10.000000	10.1	1.0	10.14	1.11e-07	26.77	8.76e-14	0.97
chr4-2171	chr4	99851034	99851168	+	9.74	0.938	12.000000	10.1	1.0	10.14	1.11e-07	12.99	3.19e-10	0.88
chr4-2415	chr4	99904661	99904795	+	9.74	0.700	11.000000	10.1	0.5	20.28	1.63e-10	9.50	1.08e-08	0.97
chr4-2172	chr4	99994518	99994652	+	9.74	0.800	12.000000	10.1	1.0	10.14	1.11e-07	11.33	1.57e-09	0.88
chr4-1955	chr4	100871102	100871236	+	9.74	0.773	13.000000	10.1	2.0	5.07	4.65e-05	5.02	8.13e-06	0.81
chr4-3127	chr4	100929587	100929721	+	9.74	0.929	9.000000	10.1	2.0	5.07	4.65e-05	6.22	9.42e-07	1.07
chr4-2180	chr4	101181137	101181271	+	9.74	0.750	12.000000	10.1	2.0	5.07	4.65e-05	8.18	5.38e-08	1.07
chr4-2182	chr4	102843355	102843489	+	9.74	0.786	12.000000	10.1	2.0	5.07	4.65e-05	11.78	1.02e-09	0.81
chr4-2421	chr4	104789697	104789831	+	9.74	0.778	11.000000	10.1	0.5	20.28	1.63e-10	19.21	3.95e-12	0.97
chr4-2184	chr4	104917778	104917912	+	9.74	0.684	12.000000	10.1	2.0	5.07	4.65e-05	7.01	2.74e-07	0.81
chr4-1965	chr4	106919230	106919364	+	9.74	0.812	13.000000	10.1	0.5	20.28	1.63e-10	6.31	8.14e-07	0.81
chr4-2723	chr4	107999332	107999466	+	9.74	0.846	10.000000	10.1	0.5	20.28	1.63e-10	4.07	6.05e-05	0.97
chr4-3160	chr4	109329474	109329608	+	9.74	0.545	9.000000	10.1	2.0	5.07	4.65e-05	11.47	1.36e-09	1.07
chr4-3162	chr4	109394717	109394851	+	9.74	0.750	9.000000	10.1	2.0	5.07	4.65e-05	26.77	8.76e-14	1.21
chr4-2436	chr4	115575775	115575909	+	9.74	0.722	11.000000	10.1	1.0	10.14	1.11e-07	7.18	2.13e-07	0.88
chr4-3176	chr4	116297310	116297444	+	9.74	0.923	9.000000	10.1	0.5	20.28	1.63e-10	7.24	1.95e-07	1.07
chr4-2440	chr4	116393062	116393196	+	9.74	0.762	11.000000	10.1	2.0	5.07	4.65e-05	7.49	1.38e-07	0.88
chr4-2202	chr4	117531927	117532061	+	9.74	0.619	12.000000	10.1	0.5	20.28	1.63e-10	6.09	1.17e-06	0.88
chr4-3794	chr4	117852898	117853032	+	9.74	0.632	8.000000	10.1	2.0	5.07	4.65e-05	9.11	1.70e-08	1.21
chr4-2210	chr4	118877444	118877578	+	9.74	0.778	12.000000	10.1	2.0	5.07	4.65e-05	14.97	6.57e-11	0.88
chr4-2211	chr4	119764056	119764190	+	9.74	0.750	12.000000	10.1	2.0	5.07	4.65e-05	10.52	3.55e-09	0.88
chr4-2454	chr4	120478514	120478648	+	9.74	0.750	11.000000	10.1	2.0	5.07	4.65e-05	12.10	6.99e-10	0.88
chr4-2756	chr4	122575391	122575525	+	9.74	0.737	10.000000	10.1	0.5	20.28	1.63e-10	10.64	3.12e-09	1.07
chr4-2217	chr4	122758120	122758254	+	9.74	0.800	12.000000	10.1	0.5	20.28	1.63e-10	8.84	2.36e-08	0.81
chr4-3227	chr4	123097827	123097961	+	9.74	0.812	9.000000	10.1	0.5	20.28	1.63e-10	7.96	7.20e-08	1.38
chr4-3232	chr4	123422546	123422680	+	9.74	0.929	9.000000	10.1	2.0	5.07	4.65e-05	7.55	1.26e-07	1.07
chr4-1825	chr4	123588855	123588989	+	9.74	0.789	14.000000	10.1	1.0	10.14	1.11e-07	4.42	2.80e-05	0.81
chr4-2780	chr4	125801022	125801156	+	9.74	0.632	10.000000	10.1	2.0	5.07	4.65e-05	7.01	2.74e-07	0.97
chr4-2224	chr4	125915192	125915326	+	9.74	0.800	12.000000	10.1	1.0	10.14	1.11e-07	9.71	8.51e-09	0.88
chr4-2783	chr4	128335118	128335252	+	9.74	0.875	10.000000	10.1	1.0	10.14	1.11e-07	7.75	9.55e-08	1.07
chr4-2228	chr4	128914765	128914899	+	9.74	0.789	12.000000	10.1	2.0	5.07	4.65e-05	6.09	1.17e-06	0.88
chr4-3265	chr4	131571152	131571286	+	9.74	0.545	9.000000	10.1	0.5	20.28	1.63e-10	12.62	4.40e-10	1.07
chr4-2801	chr4	131757525	131757659	+	9.74	0.857	10.000000	10.1	2.0	5.07	4.65e-05	7.68	1.05e-07	0.97
